rollno,sname,age,course,gender,marks,married
S-1,Student1- xyz,45,MTech,M,57,FALSE
S-2,Student2- xyz,47,BTech,M,58,FALSE
S-3,Student3- xyz,26,BTech,M,67,FALSE
S-4,Student4- xyz,29,BTech,M,63,FALSE
S-5,Student5- xyz,24,Phd,F,57,FALSE
S-6,Student6- xyz,38,Phd,M,59,FALSE
S-7,Student7- xyz,41,BTech,M,64,FALSE
S-8,Student8- xyz,28,MTech,F,61,FALSE
S-9,Student9- xyz,35,MTech,M,69,FALSE
S-10,Student10- xyz,22,MTech,M,56,FALSE
S-11,Student11- xyz,33,MTech,M,60,FALSE
S-12,Student12- xyz,32,Phd,M,64,FALSE
S-13,Student13- xyz,44,BTech,M,63,FALSE
S-14,Student14- xyz,36,BTech,F,57,FALSE
S-15,Student15- xyz,36,Phd,M,62,FALSE
S-16,Student16- xyz,34,MTech,M,65,FALSE
S-17,Student17- xyz,48,MTech,F,58,TRUE
S-18,Student18- xyz,44,BTech,M,56,FALSE
S-19,Student19- xyz,44,MTech,F,65,FALSE
S-20,Student20- xyz,39,BTech,F,63,FALSE
S-21,Student21- xyz,21,MTech,M,62,FALSE
S-22,Student22- xyz,25,BTech,F,62,FALSE
S-23,Student23- xyz,43,BTech,F,53,FALSE
S-24,Student24- xyz,45,BTech,M,61,FALSE
S-25,Student25- xyz,30,BTech,F,56,FALSE
S-26,Student26- xyz,31,Phd,F,65,FALSE
S-27,Student27- xyz,29,MTech,M,58,FALSE
S-28,Student28- xyz,39,BTech,M,65,FALSE
S-29,Student29- xyz,36,MTech,M,65,FALSE
S-30,Student30- xyz,23,BTech,M,65,TRUE
