"","rollno","name","gender","age","course","marks","married"
"1","S-1","Student1- xyz","M",22,"BTech",69,FALSE
"2","S-2","Student2- xyz","M",23,"BTech",96,TRUE
"3","S-3","Student3- xyz","M",23,"MTech",72,FALSE
"4","S-4","Student4- xyz","M",29,"BTech",71,FALSE
"5","S-5","Student5- xyz","M",24,"MTech",55,TRUE
"6","S-6","Student6- xyz","M",39,"BTech",18,FALSE
"7","S-7","Student7- xyz","M",21,"Phd",67,TRUE
"8","S-8","Student8- xyz","M",36,"MTech",58,FALSE
"9","S-9","Student9- xyz","F",22,"MTech",44,TRUE
"10","S-10","Student10- xyz","F",39,"MTech",45,FALSE
"11","S-11","Student11- xyz","F",20,"MTech",68,FALSE
"12","S-12","Student12- xyz","M",29,"BTech",4,TRUE
"13","S-13","Student13- xyz","M",39,"MTech",39,FALSE
"14","S-14","Student14- xyz","M",28,"Phd",42,FALSE
"15","S-15","Student15- xyz","M",26,"BTech",88,FALSE
"16","S-16","Student16- xyz","M",26,"MTech",55,TRUE
"17","S-17","Student17- xyz","M",39,"BTech",73,TRUE
"18","S-18","Student18- xyz","F",38,"Phd",54,FALSE
"19","S-19","Student19- xyz","M",20,"Phd",59,TRUE
"20","S-20","Student20- xyz","M",21,"Phd",60,FALSE
"21","S-21","Student21- xyz","M",30,"Phd",26,FALSE
"22","S-22","Student22- xyz","M",32,"BTech",31,FALSE
"23","S-23","Student23- xyz","F",35,"BTech",53,FALSE
"24","S-24","Student24- xyz","M",29,"MTech",44,FALSE
"25","S-25","Student25- xyz","M",36,"BTech",33,TRUE
"26","S-26","Student26- xyz","M",39,"Phd",44,FALSE
"27","S-27","Student27- xyz","M",38,"Phd",67,FALSE
"28","S-28","Student28- xyz","M",25,"BTech",21,FALSE
"29","S-29","Student29- xyz","M",21,"BTech",43,TRUE
"30","S-30","Student30- xyz","M",21,"MTech",58,FALSE
