rollno,name,course,gender,batch,marks1,marks2
1,student1,Btech,M,2020,77,69
2,student2,Bcom,F,2019,93,80
3,student3,BSc,M,2021,98,71
4,student4,Btech,F,2020,68,71
5,student5,Btech,M,2019,100,83
6,student6,Bcom,F,2021,84,83
7,student7,BSc,M,2020,74,89
8,student8,Btech,F,2019,99,74
9,student9,Btech,M,2021,91,66
10,student10,Bcom,F,2020,62,72
11,student11,BSc,M,2019,87,90
12,student12,Btech,F,2021,69,83
13,student13,Btech,M,2020,85,69
14,student14,Bcom,F,2019,81,66
15,student15,BSc,M,2021,79,86
16,student16,Btech,F,2020,75,89
17,student17,Btech,M,2019,61,78
18,student18,Bcom,F,2021,81,84
19,student19,BSc,M,2020,78,74
20,student20,Btech,F,2019,77,74
