"rollno","name","dob","gender","course","batch","EXCEL","MATHS","PYTHON","RPGM","STATS","age"
1,"XYZ",1994-01-01,"M","BSCDS",2016,45,109,61,74,92,24
2,"XYZ",1994-01-08,"M","BSCDS",2017,88,121,64,87,104,24
3,"XYZ",1994-01-15,"M","BSCDS",2016,68,109,64,86,99,24
4,"XYZ",1994-01-22,"M","BSCDS",2017,77,113,68,65,100,24
5,"XYZ",1994-01-29,"F","BSCDS",2016,56,77,77,79,108,24
6,"XYZ",1994-02-05,"M","BSCDS",2017,88,93,81,62,116,24
7,"XYZ",1994-02-12,"M","BSCDS",2016,108,130,67,52,126,24
8,"XYZ",1994-02-19,"M","BSCDS",2017,67,76,46,56,102,24
9,"XYZ",1994-02-26,"M","BSCDS",2016,78,105,85,68,126,24
10,"XYZ",1994-03-05,"M","BSCDS",2017,109,108,81,92,98,24
11,"XYZ",1994-03-12,"M","BSCDS",2016,94,120,68,71,117,24
12,"XYZ",1994-03-19,"M","BSCDS",2017,109,93,64,60,135,24
13,"XYZ",1994-03-26,"M","BSCDS",2016,80,103,72,73,110,24
14,"XYZ",1994-04-02,"F","BSCDS",2017,78,65,76,78,103,24
15,"XYZ",1994-04-09,"M","BSCDS",2016,72,107,82,54,110,24
16,"XYZ",1994-04-16,"F","BSCDS",2017,102,87,89,57,128,24
17,"XYZ",1994-04-23,"M","BSCDS",2016,61,95,67,47,99,24
18,"XYZ",1994-04-30,"M","BSCDS",2017,85,76,78,55,124,24
19,"XYZ",1994-05-07,"M","BSCDS",2016,79,108,88,59,123,24
20,"XYZ",1994-05-14,"M","BSCDS",2017,114,113,66,66,113,24
21,"XYZ",1994-05-21,"M","MSCDS",2016,71,94,73,87,110,24
22,"XYZ",1994-05-28,"M","MSCDS",2017,57,137,57,81,105,24
23,"XYZ",1994-06-04,"M","MSCDS",2016,83,113,78,73,106,24
24,"XYZ",1994-06-11,"M","MSCDS",2017,79,119,69,63,116,24
25,"XYZ",1994-06-18,"M","MSCDS",2016,67,141,66,70,131,24
26,"XYZ",1994-06-25,"F","MSCDS",2017,82,87,67,77,108,24
27,"XYZ",1994-07-02,"M","MSCDS",2016,76,116,79,64,96,24
28,"XYZ",1994-07-09,"F","MSCDS",2017,70,120,53,83,103,24
29,"XYZ",1994-07-16,"F","MSCDS",2016,88,100,71,83,113,24
30,"XYZ",1994-07-23,"M","MSCDS",2017,75,106,65,56,107,24
31,"XYZ",1994-07-30,"M","MSCDS",2016,52,80,65,61,108,24
32,"XYZ",1994-08-06,"M","MSCDS",2017,40,109,80,84,108,24
33,"XYZ",1994-08-13,"M","MSCDS",2016,71,86,79,50,96,24
34,"XYZ",1994-08-20,"M","MSCDS",2017,102,116,74,75,108,23
35,"XYZ",1994-08-27,"M","MSCDS",2016,93,84,80,73,119,23
36,"XYZ",1994-09-03,"M","MSCDS",2017,98,106,69,108,117,23
37,"XYZ",1994-09-10,"M","MSCDS",2016,95,83,55,37,115,23
38,"XYZ",1994-09-17,"M","MSCDS",2017,85,95,87,60,106,23
39,"XYZ",1994-09-24,"F","MSCDS",2016,57,69,73,78,108,23
40,"XYZ",1994-10-01,"F","MSCDS",2017,83,103,71,90,98,23
41,"XYZ",1994-10-08,"M","MSCDS",2016,104,120,77,80,109,23
42,"XYZ",1994-10-15,"M","MSCDS",2017,29,104,83,53,113,23
43,"XYZ",1994-10-22,"M","MSCDS",2016,68,65,79,97,127,23
44,"XYZ",1994-10-29,"M","MSCDS",2017,97,88,84,49,120,23
45,"XYZ",1994-11-05,"M","MSCDS",2016,88,133,75,57,105,23
46,"XYZ",1994-11-12,"M","MSCDS",2017,92,136,70,69,114,23
47,"XYZ",1994-11-19,"M","MSCDS",2016,87,76,72,97,99,23
48,"XYZ",1994-11-26,"M","MSCDS",2017,88,93,83,76,119,23
49,"XYZ",1994-12-03,"M","MSCDS",2016,80,107,67,79,120,23
50,"XYZ",1994-12-10,"M","MSCDS",2017,66,106,65,91,131,23
51,"XYZ",1994-12-17,"M","PGDDS",2016,62,88,78,82,114,23
52,"XYZ",1994-12-24,"M","PGDDS",2017,81,81,81,55,105,23
53,"XYZ",1994-12-31,"M","PGDDS",2016,74,96,58,79,111,23
54,"XYZ",1995-01-07,"M","PGDDS",2017,67,120,83,69,105,23
55,"XYZ",1995-01-14,"M","PGDDS",2016,86,100,75,91,102,23
56,"XYZ",1995-01-21,"M","PGDDS",2017,82,87,73,67,112,23
57,"XYZ",1995-01-28,"M","PGDDS",2016,102,90,86,52,101,23
58,"XYZ",1995-02-04,"M","PGDDS",2017,63,132,90,76,112,23
59,"XYZ",1995-02-11,"M","PGDDS",2016,72,91,64,74,114,23
60,"XYZ",1995-02-18,"F","PGDDS",2017,79,115,85,70,109,23
61,"XYZ",1995-02-25,"F","PGDDS",2016,59,129,69,57,108,23
62,"XYZ",1995-03-04,"M","PGDDS",2017,76,109,76,60,104,23
63,"XYZ",1995-03-11,"M","PGDDS",2016,69,92,80,70,99,23
64,"XYZ",1995-03-18,"M","PGDDS",2017,48,99,76,82,118,23
65,"XYZ",1995-03-25,"M","PGDDS",2016,76,90,60,66,110,23
66,"XYZ",1995-04-01,"M","BTCSDA",2017,72,125,70,60,118,23
67,"XYZ",1995-04-08,"M","BTCSDA",2016,97,97,90,38,98,23
68,"XYZ",1995-04-15,"M","BTCSDA",2017,71,131,77,76,112,23
69,"XYZ",1995-04-22,"M","BTCSDA",2016,88,89,67,75,117,23
70,"XYZ",1995-04-29,"M","BTCSDA",2017,82,87,68,86,110,23
71,"XYZ",1995-05-06,"M","BTCSDA",2016,61,103,86,88,108,23
72,"XYZ",1995-05-13,"F","BTCSDA",2017,86,100,78,68,102,23
73,"XYZ",1995-05-20,"M","BTCSDA",2016,78,90,66,86,131,23
74,"XYZ",1995-05-27,"M","BTCSDA",2017,82,68,75,70,118,23
75,"XYZ",1995-06-03,"M","BTCSDA",2016,90,101,81,62,128,23
76,"XYZ",1995-06-10,"M","BTCSDA",2017,82,86,92,60,111,23
77,"XYZ",1995-06-17,"M","BTCSDA",2016,104,122,66,66,104,23
78,"XYZ",1995-06-24,"M","BTCSDA",2017,82,81,71,73,95,23
79,"XYZ",1995-07-01,"M","BTCSDA",2016,61,123,85,70,104,23
80,"XYZ",1995-07-08,"M","BTCSDA",2017,91,87,70,72,112,23
81,"XYZ",1995-07-15,"F","BTCSDA",2016,62,106,90,72,120,23
82,"XYZ",1995-07-22,"M","BTCSDA",2017,51,118,85,79,113,23
83,"XYZ",1995-07-29,"M","BTCSDA",2016,68,90,58,67,98,23
84,"XYZ",1995-08-05,"M","BTCSDA",2017,69,111,79,90,117,23
85,"XYZ",1995-08-12,"M","BTCSDA",2016,71,98,61,75,93,23
86,"XYZ",1995-08-19,"F","BTCSDA",2017,104,77,60,56,106,22
87,"XYZ",1995-08-26,"M","BTCSDA",2016,105,95,76,67,107,22
88,"XYZ",1995-09-02,"M","BTCSDA",2017,91,132,76,76,91,22
89,"XYZ",1995-09-09,"M","BTCSDA",2016,61,96,75,65,119,22
90,"XYZ",1995-09-16,"F","BTCSDA",2017,80,84,88,74,104,22
91,"XYZ",1995-09-23,"M","BTCSDA",2016,87,99,78,75,107,22
92,"XYZ",1995-09-30,"F","BTCSDA",2017,78,107,68,86,124,22
93,"XYZ",1995-10-07,"M","BTCSDA",2016,83,119,76,62,116,22
94,"XYZ",1995-10-14,"M","BTCSDA",2017,66,123,70,70,109,22
95,"XYZ",1995-10-21,"M","BTCSDA",2016,61,102,74,63,115,22
96,"XYZ",1995-10-28,"M","BTCSDA",2017,101,123,64,56,114,22
97,"XYZ",1995-11-04,"M","BTCSDA",2016,84,85,74,48,127,22
98,"XYZ",1995-11-11,"M","BTCSDA",2017,74,53,76,72,113,22
99,"XYZ",1995-11-18,"M","BTCSDA",2016,85,91,68,77,115,22
100,"XYZ",1995-11-25,"M","BTCSDA",2017,111,90,75,78,113,22
